country,product,hs_code,rank_shifts
american_samoa,arms_and_ammunition,93,-145.390625
saint_barthélemy,arms_and_ammunition,93,-131.0
nauru,umbrellas_and_walking-sticks,66,-124.0
saint_barthélemy,photographic_or_cinematographic_goods,37,-103.0
cocos_(keeling)_islands,sugar_and_candy,17,-63.57142857142857
saint_helena_ascension_and_tristan_da_cunha,man-made_staple_fibres,55,-61.09413580246913
norfolk_island,special_woven_fabrics,58,-59.0
bouvet_island,diary_products,4,-55.5
vatican_city,preparations_of_meat_or_fish,16,-49.54814814814815
tokelau,explosives,36,-48.0
saint_barthélemy,food_residues_and_animal_feed,23,-43.83333333333333
sierra_leone,arms_and_ammunition,93,-43.359649122807014
american_samoa,umbrellas_and_walking-sticks,66,-42.5
pitcairn,art,97,-42.18055555555556
french_southern_and_antarctic_lands,albuminoidals_modified_starches_glues_enzymes,35,-40.61538461538461
south_sudan,manufactues_of_plaiting_materials,46,-39.0
sao_tome_and_principe,leather_and_skins,41,-37.12280701754386
saint_helena_ascension_and_tristan_da_cunha,cotton,52,-36.58496732026144
christmas_island,man-made_staple_fibres,55,-35.22222222222222
gibraltar,aircraft,88,-35.050000000000004
